Код","Название","Описание","Фото1","Фото2","Фото3","Фото4","Фото5","Цена за упаковку","Кол в упаковке","Цена опт ","наличие","рубрика","Детальноеописание","Nazvanie","Vitrina","Short","Vid","UAH"
"13003","Мужские шерстяные носки Marjinal","Мужские шерстяные носки Marjinal. Состав: шерсть 95%,  лайкра 5%. Цвет: ассорти. Размер: 40-44. Количество в упаковке 6 пар.","/pic/IMG_4413","IMG_4433","","","","165","6","27,5","1","3","","Muzhskie_sherstjanye_noski_Marjinal_13003","","short","вид","UAH"
"13004","Мужские шерстяные носки Marjinal","Мужские шерстяные носки Marjinal. Состав: шерсть 95%,  лайкра 5%. Цвет: чёрный. Размер: 40-44. Количество в упаковке 6 пар.","/pic/IMG_4415","IMG_4431","","","","165","6","27,5","1","3","","Muzhskie_sherstjanye_noski_Marjinal_13004","","short","вид","UAH"
"13005","Мужские шерстяные носки Marjinal","Мужские шерстяные носки с махрой Marjinal. Состав: шерсть 95%,  лайкра 5%. Цвет: чёрный. Размер: 40-44. Количество в упаковке 6 пар.","/pic/IMG_4429","","","","","202","6","33,6666666666667","1","3","чёрный","Muzhskie_sherstjanye_noski_Marjinal_13005","","short","вид","UAH"
"13006","Мужские шерстяные носки Marjinal","Мужские шерстяные носки с махрой Marjinal. Состав: шерсть 95%,  лайкра 5%. Цвет: ассорти. Размер: 40-44. Количество в упаковке 6 пар.","/pic/IMG_4468","","","","","202","6","33,6666666666667","1","3","ассорти","Muzhskie_sherstjanye_noski_Marjinal_13006","","short","вид","UAH"
"13007","Мужские шерстяные носки Boot Sock","Мужские шерстяные носки с махрой Boot Sock. Состав: полиэстэр 55%, шерсть 19% акрил 19%, ластик 1% спандекс 1%, прочие волокна 5%. Цвет: ассорти. Размер: 42-44. Количество в упаковке 12 пар.","/pic/IMG_2238","","","","","250","6","41,6666666666667","1","3","","Muzhskie_sherstjanye_noski_Boot_Sock_13007","","short","вид","UAH"
"13009","Мужские шерстяные носки Hakan Валенки","Мужские шерстяные носки с махрой Хакан. Состав: шерсть 90%, лайкра 10%. Цвет: ассорти. Размер: 42-45. Количество в упаковке 6 пар.","/pic/IMG_2240","IMG_2239","","","","180","6","30","1","3","","Muzhskie_sherstjanye_noski_Hakan_13009","","short","вид","UAH"
"13010","Мужские носки с махровой подошвой Ekmen","Мужские носки с махровой подошвой Ekmen. Состав: хлопок 77%, нейлон 22%, эластан 1%. Размер: 43-46. Цвет: ассорти. Количество в упаковке 12 пар.","/pic/IMG_4445(1)","IMG_4425","IMG_4445","","","300","12","25","1","3","","Muzhskie_noski_s_mahrovoj_podoshvoj_Ekmen_13010","","short","вид","UAH"
"13011","Подростковые спортивные носки Bross с махровой подошвой","Подростковые спортивные носки Bross с махровой подошвой. Состав: хлопок 74%, ПА 24%, лайкра 2%. Размер 37-39. Цвет: ассорти. Количество в упаковке 12 пар.","/pic/IMG_4342","","","","","250","12","20,8333333333333","1","3","","Podrostkovye_sportivnye_noski_Bross_s_mahrovoj_podoshvoj_13011","","short","вид","UAH"
"13012","Мужские носки с махровой подошвой Ekmen","Мужские носки с махровой подошвой Ekmen. Состав: хлопок 77%, нейлон 22%, эластан 1%. Размер: 43-46. Цвет: ассорти. Количество в упаковке 12 пар.","/pic/IMG_4446(1)","IMG_4424","IMG_4446","","","300","12","25","1","3","ассорти(синий,серый);синий","Muzhskie_noski_s_mahrovoj_podoshvoj_Ekmen_13012","","short","вид","UAH"
"13014","Мужские носки с махровой подошвой Ekmen","Мужские носки с махровой подошвой Ekmen. Состав: хлопок 77%, нейлон 22%, эластан 1%. Размер: 42-44. Цвет: чёрный. Количество в упаковке 12 пар.","/pic/IMG_4202","IMG_4182","","","","250","12","20,8333333333333","1","3","","Muzhskie_noski_s_mahrovoj_podoshvoj_Ekmen_13014","","short","вид","UAH"
